Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies
215585837,Normal People,Sally Rooney,"Rooney, Sally",,0571334652,9780571334650,4,Faber & Faber,Paperback,266,2024,2018,2025/10/17,2025/10/13,light-four,light-four (#8),read,1,1
25893414,My Name Is Lucy Barton,Elizabeth Strout,"Strout, Elizabeth",,0812989074,9780812989076,3,Random House Trade Paperbacks,ebook,208,2016,2016,2025/11/19,2025/11/17,strong-three,strong-three (#1),read,1,0
181309,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor",David McDuff,,,5,Penguin Books,Paperback,656,2003,1866,2025/04/22,2024/06/23,strong-five,strong-five (#7),read,1,1
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,1400078776,9781400078776,0,Vintage Books ,Paperback,288,2010,2005,,2025/05/20,"bought, to-read","bought (#19), to-read (#22)",to-read,1,0
214885542,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,1068859636,9781068859632,0,Horizon Ridge Publishing,Kindle Edition,152,2024,1963,2024/08/23,2024/08/06,,,read,2,0
8158959,"Mourning Diary: October 26, 1977–September 15, 1979",Roland Barthes,"Barthes, Roland","Nathalie Léger, Richard Howard",080906233X,9780809062331,0,Hill and Wang,Hardcover,272,2010,2009,,2025/06/11,to-read,to-read (#21),to-read,0,0
8199790,Macbeth,William Shakespeare,"Shakespeare, William",,0007350988,9780007350988,0,William Collins,Paperback,280,2010,1623,2025/05/24,2025/05/21,bought,bought (#20),read,1,0
61121980,Hour of the Star,Clarice Lispector,"Lispector, Clarice",,024160057X,9780241600573,4,Penguin,Kindle Edition,96,2022,1977,2025/05/13,2025/05/11,strong-four,strong-four (#9),read,1,0
59785585,"Oh William! (Amgash, #3)",Elizabeth Strout,"Strout, Elizabeth",,0241992214,9780241992210,4,PENGUIN UK,Paperback,240,2022,2021,2025/05/11,2025/05/05,strong-four,strong-four (#8),read,1,0
18901575,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,0060883286,9780060883287,0,Harper Perennial Modern Classics,Paperback,417,2006,1967,,2024/07/30,"bought, to-read","bought (#3), to-read (#20)",to-read,1,1
231700349,Can Socialists be Happy?,George Orwell,"Orwell, George",,0241746906,9780241746905,4,Penguin Classics,Paperback,128,2025,2012,2025/04/27,2025/04/25,strong-four,strong-four (#7),read,1,1
578651,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,014023750X,9780140237504,4,Penguin Books,Paperback,192,1994,1951,2025/02/25,2024/12/04,"bought, strong-four","bought (#17), strong-four (#6)",read,1,1
11623,The Unabridged Journals of Sylvia Plath,Sylvia Plath,"Plath, Sylvia",Karen V. Kukil,0385720254,9780385720250,0,Vintage,Paperback,732,2000,2000,,2025/01/30,"bought, to-read","bought (#16), to-read (#19)",to-read,1,0
154527611,Sacred and Terrible Air,Robert Kurvitz,"Kurvitz, Robert",,,,4,,ebook,276,2023,2013,2024/08/05,2024/08/01,strong-four,strong-four (#5),read,1,0
40554155,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,178487485X,9781784874858,5,Vintage Classics,Hardcover,238,2019,1969,2025/01/22,2024/08/12,"bought, strong-five","bought (#4), strong-five (#6)",read,1,1
39776179,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,0441013597,9780441013593,5,Ace,Paperback,704,2005,1965,2024/05/21,2024/06/19,strong-five,strong-five (#5),read,1,1
53169182,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",,0593201736,9780593201732,5,Ace,Paperback,283,2020,1969,2024/05/26,2024/06/19,light-five,light-five (#3),read,1,1
